english_word,spanish_word,english_hint,spanish_hint
dial,dial,Rotating control on device,Control giratorio
tension,tensión,Mental or physical strain,Presión emocional
raid,redada,Police surprise search,Operación policial
scout,explorador,Person sent to observe,Investigador o buscador
deer,ciervo/a,Hoofed forest animal,Animal del bosque
grip,agarre,Firm hold with hand,Sujeción fuerte
tin,lata,Metal container,Envase metálico
warden,guardián/a,Person supervising place,Persona responsable
quote,cita,Repeated words from source,Texto citado
subway,metro,Underground train system,Transporte subterráneo
storage,almacenamiento,Act of storing goods,Guardar objetos
trailer,remolque,Vehicle pulled behind another,Carro arrastrado
operator,operador/a,Person controlling machine,Persona que maneja equipo
enterprise,empresa,Business organization,Negocio
cycle,ciclo,Series of repeating events,Secuencia repetida
importance,importancia,State of being significant,Valor relevante
goose,ganso/o,Large water bird,Ave acuática
bass,bajo,Low musical tone or instrument,Sonido grave
volunteer,voluntario/a,Person offering service freely,Persona que ayuda
residence,residencia,Place where someone lives,Vivienda
lip,labio,Edge of mouth,Parte de la boca
gallery,galería,Place displaying art,Sala de arte
motorcycle,motocicleta,Two-wheeled motor vehicle,Vehículo de dos ruedas
worship,culto,Religious reverence,Práctica religiosa
graduate,graduado/a,Person finishing studies,Persona titulada
congress,congreso,Legislative assembly,Asamblea política
execution,ejecución,Carrying out sentence,Aplicación de sentencia
ritual,ritual,Formal ceremonial act,Acto ceremonial
whale,ballena,Large sea mammal,Mamífero marino
application,solicitud,Formal request,Petición formal
tub,bañera,Bath container,Recipiente para baño
pistol,pistola,Small firearm,Arma corta
democracy,democracia,Government by the people,Sistema político
campus,campus,University grounds,Instalaciones universitarias
conclusion,conclusión,Final decision or result,Resultado final
rascal,granuja,Mischievous person,Persona traviesa
candle,vela,Wax stick producing light,Objeto de cera
principle,principio,Fundamental rule or belief,Regla básica
butcher,carnicero,Person selling meat,Profesión de carne
sweater,suéter,Warm knitted garment,Prenda de abrigo
rank,rango,Level of position,Nivel jerárquico
picnic,picnic,Outdoor meal,Comida al aire libre
recovery,recuperación,Return to health or state,Mejora después de daño
crawl,reptar,Move slowly on hands and knees,Moverse arrastrándose
villa,villa,Large country house,Casa grande
brandy,brandy,Distilled wine liquor,Bebida alcohólica
appetite,apetito,Desire to eat,Ganas de comer
lesbian,lesbiana,Woman attracted to women,Mujer homosexual
shepherd,pastor,Person tending sheep,Cuidador de ovejas
perspective,perspectiva,Viewpoint or outlook,Punto de vista
hockey,hockey,Team sport with sticks,Deporte con palo
creep,reptar,Move slowly or sneakily,Moverse sigilosamente
discipline,disciplina,Training or control,Control o estudio
lick,lamida,Touch with tongue,Acción con lengua
coal,carbón,Black fuel rock,Combustible mineral
tomb,tumba,Place of burial,Lugar de entierro
hush,silencio,Quiet command,Orden de callar
dummy,muñeco,Model or fake person,Figura artificial
suggestion,sugerencia,Idea proposed,Propuesta
addition,adición,Act of adding,Suma
therapist,terapeuta,Health professional for therapy,Especialista de terapia
parole,libertad condicional,Early prison release,Salida supervisada
cafe,café,Small restaurant for drinks,Local de bebidas
wizard,mago,Person with magical powers,Persona con magia
consciousness,conciencia,State of awareness,Estado mental
sector,sector,Part of economy or area,División
sunset,puesta del sol,Sun going below horizon,Fin del día
creation,creación,Act of making something,Producción nueva
passage,pasaje,Corridor or text section,Sección o camino
compliment,cumplido,Polite praise,Elogio
broadcast,transmisión,Radio or TV signal emission,Emisión
prey,presa,Animal hunted by predator,Animal cazado
puzzle,rompecabezas,Game requiring assembly,Juego de piezas
arrangement,arreglo,Planned organization,Organización
invasion,invasión,Military entry into territory,Entrada militar
eternity,eternidad,Endless time,Tiempo infinito
plague,plaga,Disease outbreak,Epidemia
philosophy,filosofía,Study of knowledge and existence,Disciplina intelectual
prostitute,prostituta,Person selling sexual services,Trabajadora sexual
instinct,instinto,Natural behavior impulse,Impulso natural
affection,afecto,Feeling of love or care,Cariño
nazi,nazi,Member of Nazi ideology,Ideología política
ministry,ministerio,Government department,Institución estatal
luxury,lujo,Great comfort and expense,Gran comodidad
breeze,brisa,Gentle wind,Viento suave
sausage,salchicha,Ground meat in casing,Embutido
physics,física,Science of matter and energy,Ciencia natural
pirate,pirata,Sea robber,Ladrón del mar
slice,rebanada,Thin piece cut from food,Porción delgada
rod,caña,Long thin stick,Varilla
kidney,riñón,Organ filtering blood,Órgano del cuerpo
inspiration,inspiración,Creative influence,Estimulación creativa
ginger,jengibre,Spicy root plant,Raíz aromática
destination,destino,Final travel point,Lugar final
concrete,concreto,Building material,Material de construcción
stream,arroyo,Small flowing watercourse,Curso de agua
dentist,dentista,Doctor for teeth,Médico dental
drain,desagüe,Pipe removing water,Salida de agua
spray,aerosol,Liquid dispersed as mist,Rociado
organ,órgano,Body part or instrument,Parte corporal
thumb,pulgar,First finger of hand,Dedo principal
donkey,burro / asno,Domestic working animal,Animal de carga
formula,fórmula,Mathematical expression,Expresión matemática
hooker,prostituta,Sex worker,Trabajadora sexual
bra,sostén,Women's undergarment,Prenda interior
bachelor,soltero,Unmarried man,Hombre sin casar
airplane,avión,Flying vehicle,Aeronave
absence,ausencia,State of being away,Falta de presencia
daylight,luz del día,Natural light during day,Luz natural
wrist,muñeca,Joint between hand and arm,Articulación del brazo
clerk,dependiente,Store assistant,Empleado de tienda
deed,escritura,Legal property document,Documento legal
pace,ritmo,Speed of movement,Velocidad
plug,enchufe,Electrical connector,Conector eléctrico
privilege,privilegio,Special advantage,Ventaja especial
bonus,bono,Extra payment,Pago adicional
honesty,honestidad,Truthfulness,Sinceridad
cellar,bodega,Underground storage room,Almacén subterráneo
carriage,carruaje,Horse-drawn vehicle,Transporte antiguo
lobby,vestíbulo,Entrance hall,Área de entrada
scent,olor,Pleasant smell,Aroma
burger,hamburguesa,Ground beef sandwich,Comida rápida
protocol,protocolo,Official procedure,Norma formal
author,autor/a,Creator of written work,Escritor
mole,topo,Burrowing mammal,Mamífero pequeño
disgrace,desgracia,Loss of honor,Deshonra
illusion,ilusión,False perception,Percepción falsa
verdict,veredicto,Decision of jury,Decisión judicial
income,ingreso,Money received,Entrada de dinero
civilization,civilización,Advanced human society,Sociedad desarrollada
bully,bravucón/a,Person who intimidates others,Persona agresiva
element,elemento,Basic component,Parte básica
passenger,pasajero/a,Person traveling in vehicle,Persona transportada
balloon,globo,Inflated rubber object,Objeto inflado
toe,dedo del pie,Digit of foot,Dedo del pie
mortal,mortal,Subject to death,Ser humano
lottery,lotería,Game of chance for prizes,Juego de azar
mansion,mansión,Large luxurious house,Casa grande
curtain,cortina,Cloth covering window,Tela para ventana
cheek,mejilla,Side of face,Parte de la cara
harbor,puerto,Safe place for ships,Lugar para barcos
flood,inundación,Overflow of water,Exceso de agua
cocktail,cóctel,Mixed alcoholic drink,Bebida combinada
reply,respuesta,Answer to message,Contestación
zombie,zombi,Undead fictional creature,Muerto viviente
associate,asociado/a,Partner or colleague,Socio
bubble,burbuja,Air pocket in liquid,Esfera de aire
seed,semilla,Plant reproduction unit,Parte de planta
celebrity,celebridad,Famous person,Persona famosa
missile,misil,Guided weapon,Arma militar
rot,pudrición,Decay of organic matter,Descomposición
laser,láser,Focused light beam device,Dispositivo óptico
spite,rencor,Desire to hurt from anger,Resentimiento
mill,molino,Machine grinding grain,Máquina agrícola
waitress,camarera,Female restaurant server,Trabajadora de restaurante
retirement,jubilación,Leaving work after career,Fin de carrera
consent,consenso,Agreement or permission,Aprobación
shrink,psiquiatra,Slang for psychiatrist,Médico mental
copper,cobre,Metal element,Metal rojo
auction,subasta,Sale to highest bidder,Venta pública
confusion,confusión,Lack of clarity,Falta de claridad
column,columna,Vertical structural support,Elemento arquitectónico
sympathy,simpatía,Feeling of compassion,Empatía
speaker,altavoz,Sound output device,Dispositivo de audio
brass,latón,Metal alloy of copper and zinc,Aleación metálica
constable,constable,Local police officer,Oficial policial
brat,mocoso/a,Annoying child,Niño malcriado
scheme,esquema,Plan or diagram,Plan organizado
heir,heredero/a,Person receiving inheritance,Persona heredera
ditch,zanja,Long narrow trench,Canal excavado
suspicion,sospecha,Doubt about wrongdoing,Duda
tide,marea,Rise and fall of sea level,Movimiento del mar
tournament,torneo,Competitive contest series,Competición organizada
rainbow,arcoíris,Multicolored arc in sky,Fenómeno óptico
orbit,órbita,Path around object,Trayectoria circular
corps,cuerpo,Military unit or organization,Unidad militar
platform,plataforma,Raised flat structure,Estructura elevada
cloth,tela,Woven fabric,Material textil
shotgun,escopeta,Two-barrel firearm,Arma de caza
fur,pelaje,Animal hair coat,Pelo de animal
gin,ginebra,Juniper-flavored liquor,Bebida alcohólica
asshole,idiota,Offensive term for a very unpleasant person,Insulto para persona muy desagradable
bastard,bastardo,Insult meaning a cruel or contemptible person,Insulto para persona despreciable
bear,oso,Large furry forest animal with strong claws,Gran animal peludo del bosque
beat,golpear,To strike repeatedly with force,Acción de pegar
bet,apuesta,Wager money on an uncertain outcome,Apostar dinero
bitch,perra,Offensive insult for an unpleasant woman,Insulto ofensivo
black,negro,Color of night or coal,Color oscuro
blind,ciego,Unable to see without vision,Persona sin vista
blow,soplar,To move air forcefully from the mouth,Expulsar aire con fuerza
break,romper,To separate into pieces,Partir algo
bullshit,tonterías,Nonsense or false talk,Cosas sin sentido
cat,gato,Small domesticated feline animal,Animal doméstico felino
catch,atrapar,To seize something thrown,Tomar algo al vuelo
cause,causa,Reason something happens,Motivo de un evento
coach,entrenador,Person who trains athletes,Persona que entrena
cousin,primo/a,Child of your aunt or uncle,Hijo de tío o tía
cut,cortar,To divide with a sharp tool,Dividir con cuchillo
dear,querido/a,Affectionate word for someone loved,Palabra cariñosa
dinner,cena,Evening meal of the day,Comida de la noche
drive,conducir,To operate a vehicle,Manejar un vehículo
fat,gordo/a,Having a lot of body weight,Persona con sobrepeso
fell,cayó,Past tense of fall,Pasado de caer
fellow,compañero,Man or partner in group,Persona del mismo grupo
felt,sintió,Past tense of feel,Pasado de sentir
fix,arreglar,To repair something broken,Reparar algo
french,francés,Person or language from France,Relacionado con Francia
german,alemán,Person or language from Germany,Relacionado con Alemania
grab,agarrar,To seize quickly with hand,Tomar con la mano
hate,odiar,To strongly dislike,Odiar intensamente
inspector,inspector,Official who examines something,Funcionario que revisa
lawyer,abogado/a,Professional who practices law,Profesional del derecho
liar,mentiroso/a,Person who tells lies,Persona que dice mentiras
local,local,Person from the area,Persona del lugar
madam,señora,Polite title for a woman,Tratamiento respetuoso
minister,ministro,Government official or church leader,Funcionario del gobierno
mum,mamá,Informal word for mother,Forma informal de madre
murderer,asesino/a,Person who commits homicide,Persona que mata
nonsense,disparate,Words with no meaning,Palabras sin sentido
nurse,enfermero/a,Medical worker caring for patients,Profesional de salud
partner,pareja,Person in relationship or business,Compañero sentimental
pick,elegir,To choose from options,Seleccionar
plan,plan,Idea for future action,Idea organizada
pop,estallar,To burst suddenly,Explotar repentinamente
private,privado,Not public or secret,Algo no público
professor,profesor/a,University teacher,Docente universitario
promise,promesa,Assurance something will happen,Compromiso verbal
pull,tirar,To draw toward oneself,Jalar algo
return,volver,To go back to place,Regresar
safe,seguro,Free from danger,Sin peligro
sake,motivo,Reason or purpose,Razón de algo
sense,sentido,Ability to understand,Capacidad de comprender
set,poner,To place something somewhere,Colocar algo
share,compartir,To divide with others,Repartir con otros
shoot,disparar,To fire a gun,Lanzar bala
shop,tienda,Place where goods are sold,Lugar de compras
shot,disparo,Act of firing gun,Acción de disparar
sort,tipo,Category or kind,Categoría
stand,estar de pie,To rise upright,Estar erguido
suicide,suicidio,Act of killing oneself,Acto de quitarse la vida
suspect,sospechoso/a,Person believed guilty,Persona bajo sospecha
sweet,dulce,Taste of sugar,Sabor azucarado
sweetheart,cariño,Affectionate term for loved one,Palabra cariñosa
sweetie,cielito,Affectionate nickname,Apodo cariñoso
touch,tocar,To make contact with hand,Hacer contacto
trouble,problema,Difficulty or danger,Situación difícil
whore,prostituta,Offensive term for sex worker,Trabajadora sexual
